日期,参数值,消息数量,占比
2023-12-19,95c19638 c7c8c7a156fce16d4bd5276f1c186be8 b69670a902e89197f21a82dbc12af3311ac365f6,25,2.43%
2023-12-19,38aa171e 24eb0544809807e19cae4a96c2734fe4 8b5fffceab9eb64330d6abeb5ef6bbc9c207c52b,21,2.04%
2023-12-19,e7ae0314 ded53c53831363b702fc34029fdb31eb 21166cacd4e4ee625775fd1d6bee450e666d8806,20,1.95%
2023-12-19,ef7baa58 aeae221d4a8f3848fe8486d664e3ef24 a0fd26b29ed924edfd0650060104c972caeb0ef2,19,1.85%
2023-12-19,7d876c55 92a8147327b258b31dea98a77b2b8b55 8fbd87dc4c657abe8f8484a81890839201733f90,15,1.46%
2023-12-19,47bdb182 f3d27e4fe25f173cc591b46d1e51b905 46b2290382410fddb37895325eb09518747ffa69,15,1.46%
2023-12-19,c78dc357 9d44af74516bcb114662c10756f5afe1 fe664f553435868de90cb7e684cb0e654431482b,13,1.27%
2023-12-19,72c197c6 cc6be4ded0408b9a3d99fb620d16b0e2 f8525755da0dd5ae23a70ed0fdb8a80dcb8369d8,12,1.17%
2023-12-19,0b253be5 bd2fe8b53c3fd7fc0b60aeb70b0446be 632a09b71a8f43756c9a1dd192215adcf3874568,11,1.07%
2023-12-19,4add59ef 147662acb4ebaec84cea10ac5cd846f6 6ce819b947aabb8f2e2cfa8cdfdda7064e2dcd15,11,1.07%
2023-12-19,67b8cde1 3c072bc48cf5561b5a1f20e308b30c89 2f0e27325a16ecba451fe0d01b9d777eb95c591a,11,1.07%
2023-12-19,4bec4b11 29a779a6293c804d7297e8f2ec8193e9 59ed17cbd9f3f04364b82a4a1623c62a118cba8a,10,0.97%
2023-12-19,6c0d0fc1 8d1bc39a8fa3985f7ae93c9cf76eb849 58b53d38ecbb32ab935728a25efd978fa59a6206,10,0.97%
2023-12-19,a862ff66 f13dbaa19f093fc4bef5aee4079f51b5 9e36e778772adea315c99b8e1372201471935a7f,10,0.97%
2023-12-19,a9df5c8f 7583009d95eea76af8a70aab9d2b73b1 e55ebd66c0b604925df70ebc1da4a2a031043d0c,9,0.88%
2023-12-19,934ce38d ae614edee6053f83ebb7ab35bda3bb56 0d6e98d3cc784fc9a03095479e22666f63d6733c,8,0.78%
2023-12-19,c2181681 ca652d8526ba4ac545af837e883069a2 9f24966b5ad28754116767c17cb5e2492f6e5bc5,8,0.78%
2023-12-19,28783c52 62c6b47a0c268c069a8757cdf5b81434 cda33bb4245f31d14a679716b04d2c2bf8d838e4,7,0.68%
2023-12-19,cca90b8a 551000b7eb636026ec95711b9ac134fa d9130893c90cc36ba86121650b8fa2f716ab465f,7,0.68%
2023-12-19,b9cf0fe9 4160bdd62e25a743e4284820904b3fc3 4eaa9fc8eea87d517ec3fb8d9668ca8b8856482b,7,0.68%
2023-12-19,2e5580ff 8a5f9f2121237b09f7b0b4d5af50a8d4 0d690068dcbad2c27838590383e35d1a79459f12,6,0.58%
2023-12-19,53433483 68536fd91af4bf080f9f941216e77247 034c47f0ca21ef58e7a1f7772896f033ad127513,6,0.58%
2023-12-19,5a8b5dcb 92d45199778c0b9610b07418027a5900 31dbf4b0b1ed382ad2f794eb6b6bd59b71767a40,6,0.58%
2023-12-19,6ce8803b 54fa104eab81655d323eb3761c4e81ec e9a3e1f07b10f4a6b8b354efdcc77d1711b7ac2a,6,0.58%
2023-12-19,a9c5d0a0 8b45464e808ba63e3d7608c6a7420245 2fcc9e9bd3bd6315f34674a47efee4f814d264da,6,0.58%
2023-12-19,2f1763af 8deb32fec5cf47aa4e9d68b1df515d07 79475777ebe1bab6ccfdd4da9ee2b8a89301c2bf,5,0.49%
2023-12-19,f3eae022 e1fa73bb76f9db0d6b4b46cefbabe8fe 1e1582d0d4e515f8210f22e062ca29539ff42637,5,0.49%
2023-12-19,226c3279 c27669c4dbaeaeb132e0ca219d957899 008022f9854d29696843c4c254f1448dc8e59faa,4,0.39%
2023-12-19,75fde39e ec6c91d270aceaf487fc521ee874ddd2 60fda4938f5a94762279a6d4fcfe47c137917f2e,4,0.39%
2023-12-19,889a4db1 b7ca076dd72975039332de1c3558ac4f d833f09e0df86c55fb11156c888e571ccbd1e3bc,4,0.39%
